City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
severo-kurilsk,100,RU,1580372527,87,50.68,156.12,16.3,3.53
corn island,54,NI,1580372527,71,12.17,-83.04,79.39,10.6
kapaa,20,US,1580372462,83,22.08,-159.32,69.8,8.05
bahia blanca,0,AR,1580372525,37,-38.72,-62.27,57.47,16.69
ahome,0,MX,1580372528,94,25.92,-109.18,57.99,3.0
kampong cham,32,KH,1580372528,37,11.99,105.46,90.93,5.77
khatanga,97,RU,1580372529,98,71.97,102.5,-17.05,3.4
qaanaaq,100,GL,1580372529,96,77.48,-69.36,-17.9,2.42
langham,40,CA,1580372529,92,52.37,-106.97,19.4,12.75
busselton,29,AU,1580372529,28,-33.65,115.33,73.0,18.48
bambous virieux,20,MU,1580372529,54,-20.34,57.76,84.2,8.05
san blas,100,MX,1580372530,74,21.52,-105.27,72.18,6.51
lagoa,67,PT,1580372530,89,39.05,-27.98,64.33,18.54
victoria,0,HK,1580372290,23,22.29,114.16,68.0,11.41
oum hadjer,98,TD,1580372530,7,13.3,19.7,77.81,11.81
ushuaia,75,AR,1580372531,66,-54.8,-68.3,48.2,21.92
yellowknife,90,CA,1580372531,92,62.46,-114.35,17.01,10.29
east london,40,ZA,1580372389,88,-33.02,27.91,68.0,8.05
faanui,100,PF,1580372531,72,-16.48,-151.75,81.66,11.59
neiafu,90,TO,1580372531,81,-18.65,-173.98,83.21,8.05
najran,33,SA,1580372532,23,17.49,44.13,73.4,6.93
guerrero negro,0,MX,1580372532,88,27.98,-114.06,57.42,9.55
santa fe,83,AR,1580372532,83,-31.63,-60.7,69.01,7.0
butaritari,100,KI,1580372532,77,3.07,172.79,84.67,7.87
georgetown,20,MY,1580372395,55,5.41,100.34,91.4,4.7
cape town,0,ZA,1580372524,44,-33.93,18.42,81.0,11.41
aswan,0,EG,1580372533,27,24.09,32.91,67.28,8.84
petauke,100,ZM,1580372533,97,-14.24,31.33,68.99,2.35
sumbe,100,AO,1580372533,77,-11.21,13.84,80.24,3.0
coihaique,75,CL,1580372533,76,-45.58,-72.07,50.0,6.93
rikitea,100,PF,1580372534,75,-23.12,-134.97,79.36,10.33
hermanus,0,ZA,1580372534,65,-34.42,19.23,81.0,13.0
vanavara,100,RU,1580372534,88,60.34,102.28,5.38,11.27
nemuro,75,JP,1580372534,100,43.32,145.57,33.8,17.22
saint george,1,US,1580372534,55,37.1,-113.58,39.2,9.17
souillac,20,MU,1580372535,54,-20.52,57.52,84.2,8.05
erenhot,0,CN,1580372535,77,43.65,111.98,21.4,10.65
bluff,8,NZ,1580372535,60,-46.6,168.33,66.0,18.99
belyy yar,0,RU,1580372535,47,53.6,91.39,12.2,11.18
meulaboh,100,ID,1580372536,67,4.14,96.13,82.85,9.64
narsaq,71,GL,1580372536,56,60.92,-46.05,14.0,8.05
avarua,0,CK,1580372536,83,-21.21,-159.78,80.6,10.29
vaini,40,TO,1580372536,88,-21.2,-175.2,80.6,4.7
albany,20,US,1580372457,67,42.6,-73.97,19.0,5.82
castro,100,BR,1580372537,98,-24.79,-50.01,63.19,2.08
chokurdakh,99,RU,1580372537,98,70.63,147.92,-15.48,6.8
pevek,100,RU,1580372537,98,69.7,170.31,-17.9,3.69
mataura,0,NZ,1580372537,60,-46.19,168.86,66.0,18.99
port alfred,84,ZA,1580372537,75,-33.59,26.89,73.99,5.99
victoria point,20,AU,1580372538,69,-27.58,153.3,82.99,10.29
nikolskoye,90,RU,1580372538,100,59.7,30.79,30.99,11.18
cayenne,75,GF,1580372538,88,4.93,-52.33,78.8,3.36
el alto,0,PE,1580372538,74,-4.27,-81.21,71.31,5.64
berdigestyakh,100,RU,1580372539,96,62.1,126.7,-9.85,4.83
amahai,70,ID,1580372539,64,-3.33,128.92,86.36,2.33
san patricio,100,MX,1580372539,74,19.22,-104.7,74.55,3.09
san ignacio,40,BZ,1580372539,100,17.16,-89.07,73.4,1.5
carutapera,96,BR,1580372539,81,-1.2,-46.02,81.68,13.2
charters towers,100,AU,1580372540,81,-20.1,146.27,78.71,13.44
bonito,27,BR,1580372540,90,-21.12,-56.48,72.97,8.9
chaplynka,98,UA,1580372540,50,46.37,33.54,43.43,13.09
bredasdorp,20,ZA,1580372540,56,-34.53,20.04,73.99,23.04
norman wells,40,CA,1580372540,67,65.28,-126.83,-22.0,9.17
jamestown,1,US,1580372525,100,42.1,-79.24,21.0,5.82
jhudo,0,PK,1580372541,17,24.96,69.3,77.14,5.39
adre,100,TD,1580372541,9,13.47,22.2,73.04,18.1
naryan-mar,0,RU,1580372541,96,67.67,53.09,-16.49,5.03
buraydah,0,SA,1580372542,62,26.33,43.98,57.2,2.24
puerto escondido,13,MX,1580372542,91,15.85,-97.07,66.69,3.47
solnechnyy,0,RU,1580372542,70,50.72,136.63,4.57,6.06
sao filipe,0,CV,1580372542,71,14.9,-24.5,72.1,15.61
torbay,90,CA,1580372403,86,47.67,-52.73,30.99,11.41
ust-nera,100,RU,1580372543,100,64.57,143.2,-36.02,1.74
san cristobal,98,VE,1580372543,96,7.77,-72.22,52.92,1.21
honiara,90,SB,1580372543,79,-9.43,159.95,84.2,2.24
anju,0,KP,1580372544,66,39.62,125.66,31.8,6.22
puerto ayora,5,EC,1580372544,100,-0.74,-90.35,75.0,8.68
kuala terengganu,40,MY,1580372383,70,5.33,103.14,86.0,8.05
okakarara,89,NA,1580372544,29,-20.58,17.43,86.67,7.43
longyearbyen,75,SJ,1580372516,62,78.22,15.64,23.0,17.22
otane,0,NZ,1580372544,47,-39.88,176.63,66.99,5.01
santa maria,100,BR,1580372545,96,-29.68,-53.81,69.01,4.76
sitka,75,US,1580372545,80,57.05,-135.33,35.6,17.22
upernavik,93,GL,1580372545,91,72.79,-56.15,-14.39,5.28
chuy,100,UY,1580372545,87,-33.7,-53.46,70.48,12.44
rio grande,36,BR,1580372545,93,-32.03,-52.1,69.01,8.39
new norfolk,20,AU,1580372530,72,-42.78,147.06,70.0,19.46
kampene,99,CD,1580372546,53,-3.6,26.67,84.94,4.41
nanortalik,0,GL,1580372546,51,60.14,-45.24,21.09,29.71
hithadhoo,65,MV,1580372546,77,-0.6,73.08,81.84,14.29
mizdah,0,LY,1580372547,48,31.45,12.98,55.98,1.01
pangnirtung,40,CA,1580372547,75,66.15,-65.71,-16.6,3.62
tuktoyaktuk,100,CA,1580372547,97,69.45,-133.04,-17.09,11.52
ballina,40,AU,1580372548,74,-28.87,153.57,84.2,13.87
ancud,1,CL,1580372548,87,-41.87,-73.82,48.2,2.24
iqaluit,90,CA,1580372548,77,63.75,-68.51,-0.4,2.42
cabo san lucas,100,MX,1580372548,66,22.89,-109.91,62.01,1.01
hobart,20,AU,1580372419,68,-42.88,147.33,70.0,19.46
bowen,75,AU,1580372549,74,-20.02,148.23,82.4,11.41
fortuna,90,US,1580372549,93,40.6,-124.16,53.6,12.75
birao,13,CF,1580372549,10,10.28,22.79,80.51,17.18
tumut,0,AU,1580372550,22,-35.3,148.22,82.85,2.01
lompoc,1,US,1580372550,66,34.64,-120.46,53.01,13.09
sao joao da barra,73,BR,1580372550,91,-21.64,-41.05,76.8,10.76
atasu,0,KZ,1580372550,77,48.68,71.64,11.8,2.89
clyde river,90,CA,1580372550,68,70.47,-68.59,-20.2,4.7
okhotsk,0,RU,1580372551,65,59.38,143.3,-11.52,7.02
fairbanks,90,US,1580372403,83,64.84,-147.72,-8.0,4.27
bojnurd,90,IR,1580372551,41,37.47,57.33,41.0,2.24
paracuru,40,BR,1580372551,88,-3.41,-39.03,79.0,5.82
mar del plata,0,AR,1580372552,87,-38.0,-57.56,53.01,5.57
ponta do sol,20,PT,1580372552,76,32.67,-17.1,57.2,4.7
morro bay,1,US,1580372552,81,35.37,-120.85,51.01,5.82
ust-kuyga,88,RU,1580372552,97,70.02,135.6,-17.79,5.3
lebu,8,CL,1580372553,87,-37.62,-73.65,44.38,3.44
punta arenas,75,CL,1580372553,81,-53.15,-70.92,51.8,12.75
harper,74,LR,1580372553,76,4.38,-7.72,84.29,2.55
coahuayana,46,MX,1580372553,84,18.73,-103.68,64.78,5.46
thompson,90,CA,1580372261,92,55.74,-97.86,15.8,6.93
kudahuvadhoo,0,MV,1580372554,76,2.67,72.89,81.28,13.18
princeton,75,US,1580372314,88,25.54,-80.41,70.0,3.36
caravelas,0,BR,1580372554,84,-17.71,-39.25,79.2,6.93
petropavlovsk-kamchatskiy,0,RU,1580372554,61,53.05,158.65,14.0,4.47
iowa city,90,US,1580372492,79,41.66,-91.53,26.6,2.28
grindavik,20,IS,1580372555,78,63.84,-22.43,32.0,18.34
komsomolskiy,0,UZ,1580372555,56,40.43,71.72,42.8,4.7
svetlogorsk,100,BY,1580372555,84,52.63,29.73,32.81,15.03
barrow,1,US,1580372555,74,71.29,-156.79,-27.4,9.17
susanville,75,US,1580372555,90,40.42,-120.65,37.4,3.36
marabba,0,SD,1580372556,12,12.35,32.18,82.45,11.07
half moon bay,75,US,1580372556,87,37.46,-122.43,53.6,12.75
saint-pierre,0,RE,1580372556,62,-21.34,55.48,84.2,10.29
hobyo,78,SO,1580372556,50,5.35,48.53,83.34,20.78
saskylakh,94,RU,1580372557,98,71.92,114.08,-18.98,3.87
arraial do cabo,20,BR,1580372557,94,-22.97,-42.03,77.0,8.05
moses lake,20,US,1580372557,92,47.13,-119.28,37.0,6.93
anadyr,40,RU,1580372557,76,64.75,177.48,-5.01,2.24
ha giang,88,VN,1580372558,68,22.83,104.98,54.66,4.5
zhytomyr,100,UA,1580372558,91,50.26,28.68,34.07,18.66
sauda,75,NO,1580372558,100,59.65,6.35,39.0,6.93
vila velha,100,BR,1580372558,78,-20.33,-40.29,78.8,6.93
beringovskiy,95,RU,1580372558,99,63.05,179.32,-4.22,5.75
cururupu,100,BR,1580372559,98,-1.83,-44.87,74.44,0.56
yulara,100,AU,1580372559,49,-25.24,130.99,91.4,11.41
la palma,1,US,1580372392,46,33.85,-118.05,66.99,3.42
ushtobe,93,KZ,1580372559,84,45.25,77.98,23.65,3.83
dikson,100,RU,1580372560,97,73.51,80.55,-5.8,11.9
olafsvik,66,IS,1580372560,78,64.89,-23.71,33.67,21.94
meadow lake,90,US,1580372560,60,34.8,-106.54,37.0,3.22
nakamura,97,JP,1580372560,66,32.98,132.93,44.82,8.28
abnub,0,EG,1580372560,42,27.27,31.15,62.8,7.36
saint-michel-des-saints,0,CA,1580372561,8,46.68,-73.92,5.0,2.44
kasganj,0,IN,1580372561,46,27.82,78.65,66.85,13.13
saldanha,20,ZA,1580372561,49,-33.01,17.94,82.4,17.22
bagdarin,88,RU,1580372561,92,54.43,113.6,0.95,2.93
atuona,1,PF,1580372561,80,-9.8,-139.03,79.72,14.34
taltal,21,CL,1580372562,92,-25.4,-70.48,59.92,4.9
lasa,5,IT,1580372562,92,46.62,10.7,39.0,5.82
buala,100,SB,1580372562,77,-8.14,159.59,82.08,1.07
nevers,90,FR,1580372562,87,46.92,3.33,44.6,9.17
tiksi,96,RU,1580372562,92,71.69,128.87,-15.95,1.79
vostok,100,RU,1580372563,98,46.49,135.88,5.4,2.3
airai,49,TL,1580372563,79,-8.93,125.41,76.42,1.57
alofi,35,NU,1580372563,94,-19.06,-169.92,78.8,2.24
tasiilaq,100,GL,1580372563,63,65.61,-37.64,26.6,29.97
bethel,1,US,1580372502,67,41.37,-73.41,28.99,5.68
odessa,42,UA,1580372564,53,46.48,30.73,35.6,6.71
champasak,20,LA,1580372564,40,14.75,106.0,86.0,6.93
dunedin,0,NZ,1580372564,34,-45.87,170.5,73.0,20.0
fort nelson,40,CA,1580372564,84,58.81,-122.7,-2.2,6.93
alta floresta,100,BR,1580372565,98,-9.88,-56.09,71.02,4.29
barda,0,AZ,1580372565,43,40.37,47.13,55.4,5.82
kidal,0,ML,1580372565,9,18.44,1.41,79.02,10.6
farah,34,AF,1580372565,31,32.5,62.5,48.65,0.83
mahebourg,20,MU,1580372565,54,-20.41,57.7,84.2,8.05
alice springs,75,AU,1580372561,70,-23.7,133.88,84.2,17.22
baykit,100,RU,1580372566,90,61.67,96.37,-6.95,7.4
ribeira grande,75,PT,1580372566,93,38.52,-28.7,64.4,19.46
waipawa,2,NZ,1580372566,72,-41.41,175.52,64.99,19.46
pasni,0,PK,1580372566,25,25.26,63.47,72.1,11.1
morros,88,BR,1580372567,90,-9.45,-46.3,71.33,2.13
general pico,0,AR,1580372567,40,-35.66,-63.76,54.1,5.7
labuhan,100,ID,1580372567,86,-6.88,112.21,80.37,6.58
viedma,0,AR,1580372461,57,-40.81,-63.0,54.91,12.53
lazarev,0,RU,1580372567,85,52.23,141.51,-3.93,5.03
rawson,26,AR,1580372568,47,-43.3,-65.1,62.51,14.76
guskhara,41,IN,1580372568,68,23.5,87.75,79.0,4.36
ekibastuz,62,KZ,1580372568,79,51.67,75.37,3.42,3.22
vardo,100,NO,1580372568,67,70.37,31.11,21.2,33.33
rio claro,100,BR,1580372568,75,-22.41,-47.56,75.0,4.85
muros,75,ES,1580372569,100,42.78,-9.06,59.0,14.99
port elizabeth,75,ZA,1580372569,60,-33.92,25.57,75.2,10.29
north platte,1,US,1580372359,85,41.12,-100.77,28.99,4.7
pisco,100,PE,1580372569,94,-13.7,-76.22,71.6,10.29
santa rosa,20,PH,1580372570,48,14.31,121.11,86.0,8.05
port hardy,75,CA,1580372570,93,50.7,-127.42,37.4,2.24
shafranovo,100,RU,1580372570,95,53.97,54.77,22.12,12.59
elizabeth city,1,US,1580372405,86,36.29,-76.25,43.0,6.04
kuytun,97,RU,1580372570,85,54.34,101.5,6.49,7.02
dudinka,40,RU,1580372571,74,69.41,86.18,-22.0,11.18
nelson bay,0,AU,1580372571,74,-32.72,152.15,81.0,12.75
esperance,90,AU,1580372571,56,-33.87,121.9,73.4,26.4
bluefields,0,NI,1580372571,98,12.01,-83.76,68.63,0.74
enugu,0,NG,1580372572,53,6.44,7.49,75.2,3.36
acarau,34,BR,1580372348,97,-2.89,-40.12,74.28,4.07
constitucion,0,CL,1580372572,53,-35.33,-72.42,56.44,3.83
cidreira,95,BR,1580372572,80,-30.18,-50.21,75.11,7.31
nyurba,94,RU,1580372573,97,63.28,118.33,-0.45,5.03
coquimbo,0,CL,1580372573,87,-29.95,-71.34,60.8,2.24
bubaque,100,GW,1580372573,60,11.28,-15.83,75.52,8.81
qaqortoq,0,GL,1580372573,56,60.72,-46.03,14.0,8.05
abbeville,90,FR,1580372574,93,50.1,1.83,43.0,8.05
emerald,100,AU,1580372574,38,-23.53,148.17,91.4,14.99
zalantun,6,CN,1580372574,82,48.0,122.72,3.25,2.46
laguna,1,US,1580372574,81,38.42,-121.42,53.01,4.7
ewa beach,20,US,1580372459,69,21.32,-158.01,73.4,3.36
necochea,0,AR,1580372574,94,-38.55,-58.74,48.99,1.99
baillif,20,GP,1580372575,94,16.02,-61.75,69.8,2.24
soavinandriana,88,MG,1580372575,59,-19.17,46.73,83.34,5.08
kupang,40,ID,1580372566,89,-10.17,123.58,84.2,11.41
ahipara,0,NZ,1580372575,83,-35.17,173.17,69.82,9.53
darovskoy,99,RU,1580372575,95,58.77,47.96,16.81,4.56
richards bay,70,ZA,1580372576,84,-28.78,32.04,75.52,15.77
leningradskiy,100,RU,1580372576,96,69.38,178.42,-15.23,11.63
ilulissat,0,GL,1580372576,70,69.22,-51.1,-4.0,6.93
kuching,90,MY,1580372437,94,1.55,110.33,77.0,3.36
karratha,0,AU,1580372576,56,-20.74,116.85,88.79,27.63
distraccion,55,CO,1580372577,88,10.9,-72.89,66.33,1.3
olavarria,0,AR,1580372577,71,-36.89,-60.32,54.0,0.96
sangar,100,RU,1580372577,76,63.92,127.47,-4.92,15.75
arys,0,KZ,1580372338,56,42.43,68.8,41.0,4.47
chapais,1,CA,1580372577,75,49.78,-74.85,-18.4,2.24
sosnovo-ozerskoye,100,RU,1580372578,95,52.52,111.54,6.15,6.69
kulhudhuffushi,68,MV,1580372578,71,6.62,73.07,81.75,14.36
bokhan,100,RU,1580372578,87,53.15,103.77,8.49,9.6
katsuura,20,JP,1580372578,41,35.13,140.3,60.8,6.93
clonakilty,90,IE,1580372578,100,51.62,-8.87,48.99,1.12
behbahan,0,IR,1580372291,58,30.6,50.24,68.0,2.66
segovia,75,ES,1580372579,100,41.17,-4.0,46.99,1.12
piopio,0,NZ,1580372579,57,-38.47,175.02,68.0,3.0
hambantota,40,LK,1580372579,70,6.12,81.12,86.0,12.75
ucluelet,43,CA,1580372580,92,48.93,-125.55,39.0,5.55
padang,100,ID,1580372430,67,-0.95,100.35,79.43,4.52
boguchany,100,RU,1580372581,88,58.38,97.45,-1.55,10.87
key west,75,US,1580372581,88,24.56,-81.78,73.99,10.29
kendallville,90,US,1580372581,86,41.44,-85.27,30.2,3.36
berlevag,20,NO,1580372581,72,70.86,29.09,17.6,6.93
opalenica,75,PL,1580372582,95,52.31,16.41,37.99,12.75
golyshmanovo,33,RU,1580372582,93,56.4,68.37,-0.29,5.55
shingu,40,JP,1580372582,57,33.73,135.98,50.0,16.11
antalaha,74,MG,1580372582,74,-14.9,50.28,80.92,13.69
belaya gora,89,RU,1580372582,93,68.53,146.42,-17.12,5.26
havelock,90,US,1580372583,74,34.88,-76.9,44.6,12.75
port lincoln,0,AU,1580372583,28,-34.73,135.87,89.8,5.68
lokosovo,80,RU,1580372583,96,61.13,74.82,-15.39,5.82
hilo,90,US,1580372583,83,19.73,-155.09,71.6,4.7
semnan,3,IR,1580372583,38,35.57,53.4,44.38,1.99
cedral,100,MX,1580372584,87,23.8,-100.73,46.18,10.38
bengkulu,98,ID,1580372584,58,-3.8,102.27,85.26,6.85
hofn,21,IS,1580372584,73,64.25,-15.21,26.6,4.7
lata,75,PT,1580372584,87,40.16,-8.33,57.2,9.17
beinamar,100,TD,1580372585,7,8.67,15.38,82.85,5.08
isangel,72,VU,1580372585,81,-19.55,169.27,77.85,8.52
dalvik,75,IS,1580372585,100,65.97,-18.53,28.4,4.7
saint-philippe,1,RE,1580372585,62,-21.36,55.77,84.2,10.29
ketchikan,100,US,1580372352,99,55.34,-131.65,32.7,5.48
kachug,100,RU,1580372586,87,53.96,105.88,7.97,5.88
deniliquin,0,AU,1580372586,7,-35.53,144.97,105.01,3.0
talnakh,40,RU,1580372586,74,69.49,88.4,-22.0,11.18
herat,75,AF,1580372586,45,34.5,62.0,46.4,2.24
madang,100,PG,1580372587,77,-5.22,145.8,83.39,6.11
lorengau,94,PG,1580372587,76,-2.02,147.27,84.16,6.96
puro,61,PH,1580372587,73,12.48,123.38,79.45,8.21
lira,95,UG,1580372587,64,2.23,32.91,75.76,5.48
kloulklubed,75,PW,1580372587,78,7.04,134.26,82.4,3.36
khorixas,0,NA,1580372588,27,-20.37,14.97,91.36,8.21
elbistan,100,TR,1580372588,99,38.21,37.2,32.97,6.8
san juan,96,AR,1580372588,58,-31.54,-68.54,72.03,5.26
quiindy,100,PY,1580372588,93,-25.97,-57.27,71.55,10.38
vestmannaeyjar,0,IS,1580372589,74,63.44,-20.27,30.2,14.99
usinsk,25,RU,1580372589,95,65.99,57.53,-12.66,8.68
tiruvallur,20,IN,1580372589,52,13.15,79.92,89.6,6.93
kazanlak,0,BG,1580372589,46,42.62,25.4,44.6,23.04
henties bay,6,NA,1580372589,88,-22.12,14.28,66.0,3.0
