City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
gidam,5,IN,1580372412,34,18.98,81.4,84.9,8.43
hualmay,98,PE,1580372590,83,-11.1,-77.61,69.69,2.26
wangqing,95,CN,1580372590,90,43.32,129.76,9.45,5.48
ryotsu,75,JP,1580372590,87,38.08,138.43,48.2,6.93
rio gallegos,0,AR,1580372590,62,-51.62,-69.22,53.6,18.34
makakilo city,1,US,1580372591,88,21.35,-158.09,73.4,4.7
wajima,75,JP,1580372591,93,37.4,136.9,41.0,4.7
geraldton,75,AU,1580372591,46,-28.77,114.6,73.4,24.16
lamar,90,US,1580372591,93,33.67,-95.58,41.0,9.17
nyakahanga,56,TZ,1580372592,54,-1.6,31.14,75.49,7.38
praia da vitoria,75,PT,1580372592,93,38.73,-27.07,64.4,22.39
kolvereid,40,NO,1580372592,69,64.87,11.6,35.01,11.41
hami,1,CN,1580372592,71,42.8,93.45,16.47,1.63
salinopolis,100,BR,1580372593,81,-0.61,-47.36,81.91,14.12
vokhtoga,100,RU,1580372593,90,58.81,41.05,21.38,7.05
zhuanghe,0,CN,1580372593,32,39.7,122.99,30.0,7.0
ilfracombe,90,GB,1580372593,100,51.21,-4.11,50.0,5.82
havre-saint-pierre,1,CA,1580372593,60,50.23,-63.6,5.0,13.87
satun,20,TH,1580372593,55,6.83,100.0,89.6,10.29
kadaya,100,RU,1580372594,98,50.93,119.29,-7.31,2.46
kodiak,90,US,1580372594,78,57.79,-152.41,17.6,6.93
olinda,40,BR,1580372594,69,-8.01,-34.86,82.4,9.17
vangaindrano,40,MG,1580372594,87,-23.35,47.6,80.76,5.93
cap malheureux,20,MU,1580372594,54,-19.98,57.61,84.2,8.05
denpasar,75,ID,1580372583,83,-8.65,115.22,84.2,16.11
tecoanapa,0,MX,1580372595,81,16.52,-98.75,69.6,2.75
miandrivazo,21,MG,1580372595,57,-19.52,45.47,89.13,4.05
buchanan,40,LR,1580372595,100,5.88,-10.05,75.2,2.98
santiago,0,CL,1580372382,67,-33.46,-70.65,60.8,3.36
bilibino,99,RU,1580372596,100,68.05,166.44,-35.93,1.61
zhanakorgan,0,KZ,1580372596,84,43.91,67.25,33.31,3.0
rundu,21,NA,1580372596,51,-17.93,19.77,80.6,3.36
hasaki,20,JP,1580372596,47,35.73,140.83,57.2,3.36
marshall,90,US,1580372435,81,34.38,-86.33,45.0,1.74
husavik,75,IS,1580372597,100,66.04,-17.34,28.4,4.7
cornelio procopio,75,BR,1580372597,83,-23.18,-50.65,75.2,1.12
victor harbor,0,AU,1580372597,6,-35.57,138.62,105.8,4.7
khasan,0,RU,1580372597,65,42.43,130.64,21.31,11.3
machico,20,PT,1580372597,76,32.7,-16.77,59.0,4.7
iranshahr,0,IR,1580372373,22,27.2,60.68,66.2,4.7
hamilton,90,US,1580372356,74,39.18,-84.53,33.8,3.31
axim,52,GH,1580372598,71,4.87,-2.24,83.89,3.29
mayo,1,US,1580372598,68,38.89,-76.51,34.0,4.7
whitehorse,5,CA,1580372598,67,60.72,-135.05,23.0,12.75
campoverde,75,PE,1580372599,94,-8.48,-74.81,73.4,2.24
balaipungut,40,ID,1580372599,62,1.05,101.28,89.6,6.93
raudeberg,75,NO,1580372599,93,61.99,5.14,37.0,12.75
gimli,86,CA,1580372599,94,50.63,-96.99,15.01,5.99
marystown,100,CA,1580372599,94,47.17,-55.15,27.75,19.08
male,40,MV,1580372447,58,4.17,73.51,87.8,16.11
marawi,0,PH,1580372600,76,8.0,124.29,82.99,4.0
ust-ilimsk,100,RU,1580372600,86,58.0,102.66,4.98,10.47
palmer,1,US,1580372600,57,42.16,-72.33,24.8,8.05
la ronge,90,CA,1580372601,92,55.1,-105.28,21.2,9.17
paamiut,0,GL,1580372329,53,61.99,-49.67,5.86,8.52
antofagasta,40,CL,1580372601,82,-23.65,-70.4,72.0,3.36
yantal,100,RU,1580372601,90,56.85,105.25,11.39,11.63
alpena,90,US,1580372601,85,45.06,-83.43,25.0,3.36
lavrentiya,0,RU,1580372602,75,65.58,-171.0,-13.27,11.27
okha,0,RU,1580372602,93,53.57,142.95,-8.66,4.61
luanda,75,AO,1580372602,74,-8.84,13.23,82.4,4.7
gamba,50,GA,1580372602,71,-2.65,10.0,85.06,2.51
sterling,40,US,1580372602,73,39.01,-77.43,30.99,3.36
knysna,20,ZA,1580372603,68,-34.04,23.05,71.6,16.11
diego de almagro,0,CL,1580372603,76,-26.37,-70.05,54.73,0.31
malkara,71,TR,1580372603,57,40.89,26.9,47.12,15.73
vila franca do campo,75,PT,1580372603,100,37.72,-25.43,62.6,16.11
lakes entrance,0,AU,1580372603,59,-37.88,147.98,73.96,9.6
tonstad,40,NO,1580372604,93,58.66,6.72,37.0,8.05
chicama,85,PE,1580372604,88,-7.84,-79.15,69.8,8.05
borogontsy,92,RU,1580372604,88,62.67,131.17,-15.65,8.03
codrington,0,AU,1580372604,60,-38.27,141.97,71.2,12.59
comodoro rivadavia,100,AR,1580372604,42,-45.87,-67.5,62.6,29.97
durazno,100,UY,1580372605,86,-33.41,-56.5,63.25,15.59
rudbar,0,AF,1580372605,27,30.15,62.6,57.36,5.46
vanimo,98,PG,1580372605,82,-2.67,141.3,83.23,15.35
coihueco,35,CL,1580372605,66,-36.62,-71.83,53.6,6.93
mastic beach,1,US,1580372605,58,40.77,-72.85,28.99,4.7
camocim,63,BR,1580372429,95,-2.9,-40.84,73.36,3.62
badiraguato,40,MX,1580372606,93,25.37,-107.52,61.0,3.69
kavieng,100,PG,1580372606,77,-2.57,150.8,84.02,12.26
aquiraz,40,BR,1580372606,88,-3.9,-38.39,79.0,5.82
carnarvon,0,AU,1580372606,54,-24.87,113.63,80.6,24.16
los llanos de aridane,100,ES,1580372606,42,28.66,-17.92,70.0,6.93
patacamaya,100,BO,1580372607,88,-17.23,-67.92,44.22,4.0
luderitz,0,NA,1580372607,68,-26.65,15.16,69.8,9.17
kenai,75,US,1580372607,84,60.55,-151.26,16.0,5.82
uthal,0,PK,1580372607,17,25.81,66.62,74.1,8.23
adrar,100,MR,1580372607,15,20.5,-10.07,65.79,12.75
huarmey,99,PE,1580372608,76,-10.07,-78.15,70.95,1.88
bacolod,88,PH,1580372608,67,10.67,122.95,81.34,7.38
coronado,20,US,1580372608,44,32.69,-117.18,62.01,8.05
provideniya,0,RU,1580372608,56,64.38,-173.3,-8.09,7.76
mirabad,0,AF,1580372609,22,30.44,61.84,55.8,2.17
keetmanshoop,0,NA,1580372609,8,-26.58,18.13,95.0,11.41
kirsanov,100,RU,1580372609,100,52.65,42.72,35.53,16.96
byron bay,40,AU,1580372430,74,-28.65,153.62,84.2,13.87
quatre cocos,20,MU,1580372609,54,-20.21,57.76,84.2,8.05
ostrovnoy,41,RU,1580372464,97,68.05,39.51,0.07,8.52
mersing,100,MY,1580372610,78,2.43,103.84,81.0,16.13
toguchin,100,RU,1580372610,91,55.24,84.39,-3.41,8.77
muramatsu,75,JP,1580372610,81,37.68,139.18,48.2,19.46
salta,90,AR,1580372610,93,-24.79,-65.41,69.8,4.7
sechura,0,PE,1580372611,84,-5.56,-80.82,72.64,7.81
matara,0,LK,1580372611,47,5.95,80.54,89.11,6.98
shimoda,20,JP,1580372611,54,34.67,138.95,57.2,17.22
haines junction,43,CA,1580372611,94,60.75,-137.51,11.41,14.74
bilma,0,NE,1580372611,9,18.69,12.92,75.11,9.64
blagoyevo,86,RU,1580372612,97,63.37,47.92,-4.68,4.34
acari,100,PE,1580372612,94,-15.43,-74.62,65.62,3.74
yetkul,100,RU,1580372612,84,54.82,61.59,8.6,6.71
rosarito,1,MX,1580372612,45,32.33,-117.03,62.01,2.15
teacapan,100,MX,1580372612,78,22.55,-105.75,66.07,0.16
nichinan,75,JP,1580372613,76,31.6,131.37,51.8,4.7
posse,96,BR,1580372613,96,-14.09,-46.37,68.32,1.79
varhaug,40,NO,1580372613,93,58.61,5.65,41.0,8.05
ulladulla,0,AU,1580372613,69,-35.35,150.47,90.0,9.17
uglegorsk,100,RU,1580372614,96,49.08,142.03,7.32,9.53
tessalit,0,ML,1580372614,16,20.2,1.01,74.25,12.97
yazoo city,75,US,1580372614,100,32.86,-90.41,39.2,5.93
isla mujeres,75,MX,1580372402,94,21.23,-86.73,69.8,5.82
ampere,100,BR,1580372615,98,-25.91,-53.47,67.05,2.51
gandai,34,IN,1580372615,27,21.67,81.1,82.8,11.61
collierville,90,US,1580372603,100,35.04,-89.66,42.01,6.93
san quintin,0,MX,1580372615,49,30.48,-115.95,57.47,4.56
ponta delgada,75,PT,1580372615,100,37.73,-25.67,62.6,16.11
yermakovskoye,30,RU,1580372616,85,53.28,92.4,4.93,5.28
tuatapere,21,NZ,1580372616,60,-46.13,167.68,66.0,18.99
college,90,US,1580372616,83,64.86,-147.8,-8.0,3.85
inhambane,40,MZ,1580372616,55,-23.86,35.38,86.0,2.24
la primavera,83,CO,1580372616,57,5.49,-70.41,78.3,5.06
acucena,100,BR,1580372617,99,-19.07,-42.55,69.44,1.03
gravdal,40,NO,1580372617,55,68.12,13.5,37.4,13.87
takoradi,52,GH,1580372617,71,4.88,-1.76,83.89,3.29
fernie,5,CA,1580372617,64,49.5,-115.07,33.8,3.36
krasnyy oktyabr,100,RU,1580372618,93,56.12,38.88,28.89,9.66
audincourt,100,FR,1580372618,100,47.48,6.85,41.0,5.82
carballo,75,ES,1580372618,87,43.21,-8.69,57.99,13.87
boromo,34,BF,1580372618,5,11.75,-2.93,82.11,10.8
eureka,90,US,1580372618,93,40.8,-124.16,53.6,6.93
srednekolymsk,98,RU,1580372619,82,67.45,153.68,-19.59,9.22
faya,40,SA,1580372619,59,18.39,42.45,66.2,9.17
moree,100,AU,1580372619,24,-29.47,149.85,100.4,5.82
kubachi,0,RU,1580372619,81,42.09,47.6,33.15,3.47
san lorenzo,90,PY,1580372619,94,-25.33,-57.53,73.4,13.87
abingdon,90,GB,1580372620,100,51.67,-1.28,48.2,12.75
egvekinot,98,RU,1580372620,85,66.32,-179.17,-13.67,5.57
pontianak,75,ID,1580372620,88,-0.03,109.33,80.6,3.36
maniitsoq,47,GL,1580372620,71,65.42,-52.9,4.71,6.38
satipo,98,PE,1580372620,95,-11.25,-74.64,58.14,2.48
darab,0,IR,1580372621,34,28.75,54.54,54.64,3.89
gainesville,90,US,1580372503,93,29.65,-82.32,55.0,9.17
chuguyevka,100,RU,1580372621,99,44.17,133.86,1.18,4.03
jalu,0,LY,1580372621,30,29.03,21.55,64.4,8.9
auki,100,SB,1580372621,66,-8.77,160.7,85.96,3.65
tambun,40,ID,1580372622,74,-6.26,107.07,89.01,9.17
vammala,75,FI,1580372622,97,61.33,22.9,33.01,9.17
moron,0,AR,1580372622,87,-34.65,-58.62,60.8,3.36
jidong,0,CN,1580372622,92,45.22,131.08,5.95,3.13
nhulunbuy,100,AU,1580372622,70,-12.23,136.77,87.8,18.34
homer,90,US,1580372540,78,59.64,-151.55,17.01,6.93
samarai,100,PG,1580372623,84,-10.62,150.67,79.16,6.78
zelenoborskiy,100,RU,1580372623,88,66.84,32.36,5.94,11.52
dingle,92,PH,1580372623,79,11.0,122.67,79.14,8.1
bairiki,40,KI,1580372623,79,1.33,172.98,84.2,3.36
sambava,91,MG,1580372624,54,-14.27,50.17,86.99,4.25
klaksvik,100,FO,1580372624,93,62.23,-6.59,37.4,13.87
eyl,100,SO,1580372625,70,7.98,49.82,75.67,21.59
dumas,1,US,1580372625,92,35.87,-101.97,30.2,4.7
nioro,50,GM,1580372626,12,13.35,-15.75,78.3,14.29
vilyuysk,100,RU,1580372626,98,63.76,121.62,-7.69,4.45
bam,0,IR,1580372626,26,29.11,58.36,59.92,6.73
iglesias,40,IT,1580372626,87,39.31,8.54,51.8,3.36
requena,20,ES,1580372626,67,39.49,-1.1,59.0,4.7
storsteinnes,40,NO,1580372627,62,69.24,19.23,30.2,25.28
sinamar,100,PH,1580372627,82,16.9,121.57,70.74,12.3
biak,19,ID,1580372627,74,-0.91,122.88,85.48,11.34
acapulco,5,MX,1580372357,83,16.86,-99.89,75.2,6.93
waverly,90,US,1580372628,79,42.74,-84.62,28.99,1.66
udachnyy,90,RU,1580372628,91,66.42,112.4,-2.2,6.71
saronno,20,IT,1580372628,45,45.63,9.03,46.0,3.36
paita,0,PE,1580372628,71,-5.09,-81.11,74.41,6.38
burgeo,100,CA,1580372629,77,47.62,-57.62,24.46,25.75
kahului,20,US,1580372507,77,20.89,-156.47,72.0,4.7
pochutla,2,MX,1580372629,89,15.74,-96.47,75.0,4.68
vaitape,100,PF,1580372630,72,-16.52,-151.75,81.66,11.59
nova aurora,30,BR,1580372630,95,-22.87,-52.57,70.12,6.15
de-kastri,0,RU,1580372630,89,51.47,140.78,1.02,4.99
kolobrzeg,100,PL,1580372630,91,54.18,15.58,36.0,19.51
monsenhor gil,90,BR,1580372630,94,-5.56,-42.61,77.0,8.05
oranjemund,0,NA,1580372631,60,-28.55,16.43,72.55,9.13
pacific grove,20,US,1580372584,87,36.62,-121.92,53.01,5.93
dzhalil,100,RU,1580372631,95,55.02,52.74,22.39,12.26
corinto,75,GR,1580372631,67,37.94,22.96,64.0,3.36
ukiah,75,US,1580372631,87,39.15,-123.21,54.0,4.97
wanning,53,CN,1580372632,62,18.8,110.4,64.33,11.59
namibe,75,AO,1580372632,88,-15.2,12.15,73.4,5.57
amalapuram,40,IN,1580372394,52,16.58,82.02,87.8,12.75
pallasovka,100,RU,1580372632,98,50.05,46.88,33.4,11.95
tilichiki,78,RU,1580372632,81,60.47,166.1,1.76,4.56
ust-omchug,0,RU,1580372633,75,61.15,149.63,-30.28,3.42
te anau,89,NZ,1580372633,89,-45.42,167.72,56.52,16.64
poum,2,NC,1580372633,72,-20.23,164.02,79.57,12.26
petropavlivka,24,UA,1580372633,60,48.46,36.44,40.53,24.09
zhanaozen,99,KZ,1580372634,46,43.3,52.8,43.7,18.7
noumea,75,NC,1580372592,69,-22.28,166.46,77.0,19.46
missoula,1,US,1580372634,97,47.02,-113.8,39.0,14.99
zhigansk,100,RU,1580372634,91,66.77,123.37,-3.33,17.02
clarence town,0,AU,1580372634,74,-32.58,151.78,81.0,12.75
cherskiy,100,RU,1580372635,97,68.75,161.3,-23.49,9.1
uren,100,RU,1580372635,93,57.46,45.79,23.27,8.55
dwarka,0,IN,1580372635,45,22.24,68.97,69.76,7.63
atherton,90,GB,1580372635,81,53.52,-2.49,46.99,6.93
yarim,97,YE,1580372635,20,14.3,44.38,64.11,0.56
araouane,0,ML,1580372636,18,18.9,-3.53,68.13,16.58
severnyy,90,RU,1580372636,95,50.68,36.55,32.0,17.9
portland,90,US,1580372533,87,45.52,-122.68,48.2,3.36
yarmouth,75,US,1580372636,63,41.71,-70.23,33.01,16.11
kutum,50,SD,1580372637,10,14.2,24.67,67.03,12.77
bathsheba,40,BB,1580372637,78,13.22,-59.52,78.8,14.99
kaitangata,0,NZ,1580372637,41,-46.28,169.85,71.01,34.0
tigil,100,RU,1580372637,95,57.8,158.67,8.15,8.77
kalach-na-donu,75,RU,1580372637,100,48.69,43.53,35.6,11.18
pestravka,100,RU,1580372637,96,52.41,49.96,31.08,14.76
vero beach,90,US,1580372365,93,27.64,-80.4,62.6,6.93
nishihara,75,JP,1580372638,47,26.18,127.76,59.0,31.09
hisai,20,JP,1580372638,66,34.67,136.47,52.0,28.86
margate,75,GB,1580372480,87,51.38,1.39,48.2,8.05
piracanjuba,100,BR,1580372639,92,-17.3,-49.02,66.2,3.06
cabedelo,40,BR,1580372397,88,-6.98,-34.83,77.0,4.7
itarema,34,BR,1580372639,97,-2.92,-39.92,74.28,4.07
ouallam,0,NE,1580372639,5,14.32,2.09,81.57,16.26
khoy,40,IR,1580372639,64,38.55,44.95,35.6,6.93
kerema,96,PG,1580372640,76,-7.96,145.78,80.53,2.3
gizo,100,SB,1580372640,85,-8.1,156.84,78.96,5.19
amapa,100,BR,1580372640,99,1.0,-52.0,71.69,1.88
maki,75,JP,1580372640,81,37.75,138.88,48.2,19.46
hoquiam,40,US,1580372641,100,46.98,-123.89,45.0,5.82
akcakoca,100,TR,1580372641,91,41.09,31.12,43.38,2.35
davila,75,PH,1580372641,78,18.47,120.58,75.2,14.99
conakry,40,GN,1580372641,69,9.54,-13.68,77.0,5.97
sistranda,98,NO,1580372642,80,63.73,8.83,35.01,11.41
sorong,84,ID,1580372642,73,-0.88,131.25,82.2,4.65
beira,36,MZ,1580372402,61,-19.84,34.84,81.77,10.58
saint-louis,0,SN,1580372642,42,16.33,-15.0,66.2,2.24
mount isa,75,AU,1580372643,100,-20.73,139.5,77.0,17.22
schlieren,79,CH,1580372643,86,47.4,8.45,39.0,8.05
haguenau,20,FR,1580372643,93,48.82,7.79,45.0,3.36
camacha,40,PT,1580372643,82,33.08,-16.33,59.0,1.12
kingaroy,75,AU,1580372643,45,-26.53,151.83,86.0,6.93
menongue,99,AO,1580372644,69,-14.66,17.69,73.96,5.3
saint-paul,90,RE,1580372644,62,-21.01,55.27,84.2,11.41
noyabrsk,97,RU,1580372644,95,63.2,75.45,-11.18,9.28
khandyga,5,RU,1580372644,81,62.67,135.6,-20.18,1.36
mount gambier,0,AU,1580372644,22,-37.83,140.77,89.6,20.8
mahibadhoo,8,MV,1580372645,76,3.78,72.97,81.05,13.82
san vicente,100,AR,1580372645,99,-26.62,-54.13,66.67,1.1
yaring,20,TH,1580372645,66,6.87,101.37,86.0,10.29
maceio,20,BR,1580372439,94,-9.67,-35.74,73.4,5.82
sungaipenuh,100,ID,1580372646,70,-2.08,101.38,74.48,2.04
ongandjera,100,NA,1580372646,42,-17.88,15.07,84.99,9.44
paraiso,75,CR,1580372646,94,9.84,-83.87,69.01,5.82
sabang,99,ID,1580372646,68,5.89,95.32,81.41,12.39
russell,1,US,1580372646,93,32.35,-85.2,41.0,6.08
kruisfontein,40,ZA,1580372647,56,-34.0,24.73,74.41,13.53
vallenar,0,CL,1580372647,96,-28.57,-70.76,54.59,1.23
gigmoto,66,PH,1580372647,69,13.78,124.39,79.63,13.02
asau,67,RO,1580372647,48,46.43,26.4,43.0,10.29
chekhov,75,RU,1580372647,92,55.14,37.47,32.0,13.42
san pedro,20,PH,1580372648,48,14.35,121.02,86.0,8.05
toktogul,0,KG,1580372649,56,41.87,72.94,21.0,1.77
muzhi,3,RU,1580372649,89,65.37,64.67,-16.06,2.89
akureyri,75,IS,1580372649,100,65.68,-18.09,28.4,4.7
salekhard,17,RU,1580372649,88,66.53,66.6,-21.59,1.3
malanville,0,BJ,1580372649,7,11.87,3.39,80.26,15.05
tautira,100,PF,1580372650,74,-17.73,-149.15,82.0,5.99
chipinge,0,ZW,1580372650,36,-20.19,32.62,83.3,10.92
vila,90,PT,1580372650,100,42.03,-8.16,59.0,13.87
zarumilla,3,PE,1580372650,78,-3.5,-80.27,76.75,2.82
council bluffs,90,US,1580372650,100,41.26,-95.86,32.0,6.93
alyangula,100,AU,1580372651,52,-13.85,136.42,93.2,11.41
sampit,100,ID,1580372651,94,-2.53,112.95,76.96,6.4
taoudenni,85,ML,1580372651,14,22.68,-3.98,63.37,12.03
sardarshahr,0,IN,1580372651,33,28.43,74.48,66.16,3.74
price,1,US,1580372652,63,39.6,-110.81,27.0,11.41
agadir,70,MA,1580372652,34,30.42,-9.6,51.8,10.29
katubao,20,PH,1580372652,66,5.89,124.83,87.8,6.93
cairns,90,AU,1580372431,74,-16.92,145.77,84.2,5.82
bandarbeyla,100,SO,1580372652,66,9.49,50.81,75.29,17.76
